Name,Frequency,Launch_Date,Region,Position_Longitude,Position_Direction,L_Rocket
ChinaSat 6E,C,240127.0,asia,115.5,E,Long March 3B
Koreasat 5,Ku,220109.0,asia,113.0,E,Zenit 3
Koreasat 5A,Ku,240201.0,asia,113.0,E,Falcon 9
Merah Putih 2,,,asia,113.0,E,Falcon 9
ChinaSat 10,C,240303.0,asia,110.5,E,Long March 3B
BSAT 4B,,,asia,110.0,E,Ariane 5 - VA253
BSAT 3A,Ku,200504.0,asia,110.0,E,Ariane 5 - V177
BSAT 3C/JCSAT 110R,Ku,200504.0,asia,110.0,E,Ariane 5 - VA203
JCSAT 15,Ku,200508.0,asia,110.0,E,Ariane 5 - VA234
BSAT 4A,Ku,210106.0,asia,110.0,E,Ariane 5 - VA239
SES 7,SKu,240201.0,asia,108.2,E,Proton
SES 9,Ku,240217.0,asia,108.2,E,Falcon 9
Telkom 4,C,240306.0,asia,108.2,E,Falcon 9
AsiaSat 7,C,240305.0,asia,105.5,E,Proton
Express AMU3,C,240102.0,asia,103.0,E,Proton
ChinaSat 9B,Ku,211006.0,asia,101.4,E,Long March 3B
AsiaSat 5,CKu,240225.0,asia,100.5,E,Proton
ChinaSat 11,CKu,240306.0,asia,98.0,E,Long March 3B
G-Sat 9,Ku,230528.0,asia,97.3,E,GSLV
Express 103,CKu,240307.0,asia,96.5,E,Proton
SES 8,Ku,240226.0,asia,95.0,E,Falcon 9
SES 12,Ku,240308.0,asia,95.0,E,Falcon 9
G-Sat 15,Ku,240216.0,asia,93.5,E,Ariane 5 - VA227
G-Sat 17,C,240228.0,asia,93.5,E,Ariane 5 - VA238
ChinaSat 9,Ku,240129.0,asia,92.2,E,Long March 3B
Measat 3b,Ku,240311.0,asia,91.5,E,Ariane 5 - VA218
Measat 3d,CKu,240229.0,asia,91.5,E,Ariane 5 - VA257
Measat 3a,CKu,240309.0,asia,91.5,E,Zenit 3/Baikonur
Yamal 401,CKu,240213.0,asia,90.0,E,Proton
ST 2,CKu,230410.0,asia,88.0,E,Ariane 5 - VA202
ChinaSat 12,CKu,240130.0,asia,87.5,E,Long March 3B
KazSat 2,Ku,240116.0,asia,86.5,E,Proton
Intelsat 15,,,asia,85.2,E,Zenit 3/Baikonur
G-Sat 10,C,240211.0,asia,83.0,E,Ariane 5 - VA209
G-Sat 24,Ku,240306.0,asia,83.0,E,Ariane 5 - VA257
G-Sat 30,CKu,240308.0,asia,83.0,E,Ariane 5 - VA251
Express 80,Ku,240304.0,asia,80.0,E,Proton
Thaicom 6,CKu,240308.0,asia,78.5,E,Falcon 9
Thaicom 8,Ku,240215.0,asia,78.5,E,Falcon 9
Apstar 7,CKu,240301.0,asia,76.5,E,Long March 3B
ABS 2,CKu,240105.0,asia,75.0,E,Ariane 5 - VA217
ABS 2A,Ku,240308.0,asia,75.0,E,Falcon 9
G-Sat 18,CKu,240124.0,asia,74.0,E,Ariane 5 - VA231
Intelsat 22,C,240223.0,europe,72.1,E,
Eutelsat 70B,Ku,240306.0,europe,70.5,E,
Intelsat 20,CKu,240308.0,europe,68.5,E,
Intelsat 36,Ku,240203.0,europe,68.5,E,
Intelsat 17,CKu,240223.0,europe,66.0,E,
Amos 4,Ku,231126.0,europe,65.0,E,
Intelsat 39,CKu,240225.0,europe,62.0,E,
Intelsat 33e,CKu,240204.0,europe,60.0,E,
KazSat 3,Ku,240202.0,europe,58.5,E,
NSS 12,CKu,240311.0,europe,57.0,E,
Express AT1,Ku,240301.0,europe,56.0,E,
